Ewe/V	<I>/mA	time/s	
-4.0667349E-001	1.280147433280945E+000	0.000000000000000E+000
-4.0725365E-001	1.200478696024259E+000	9.299999765062239E-003
-4.0825313E-001	1.105316189378502E+000	2.589999934571097E-002
-4.0925691E-001	9.838681064132206E-001	4.249999892635969E-002
-4.1028044E-001	8.965151101640512E-001	5.929999850195600E-002
-4.1126218E-001	8.557219267636551E-001	7.589999808260472E-002
-4.1227385E-001	8.128584241577332E-001	9.249999766325345E-002
-4.1328144E-001	7.934722642724701E-001	1.092999972388498E-001
-4.1426909E-001	7.852506672797956E-001	1.258999968194985E-001
-4.1529006E-001	7.422773196962162E-001	1.424999964001472E-001
-4.1625121E-001	7.181162079796195E-001	1.592999959757435E-001
-4.1727027E-001	6.585104724930400E-001	1.758999955563922E-001
-4.1827497E-001	6.117212885080141E-001	1.924999951370410E-001
-4.1929910E-001	5.734319664703453E-001	2.092999947126373E-001
-4.2026663E-001	5.736121226060682E-001	2.258999942932860E-001
-4.2122996E-001	5.599487532178546E-001	2.424999938739347E-001
-4.2227104E-001	5.397158765999794E-001	2.592999934495310E-001
-4.2316520E-001	5.158246637073631E-001	2.758999930301798E-001
-4.2425644E-001	5.042144596783649E-001	2.924999926108285E-001
-4.2526129E-001	4.905987230915994E-001	3.092999921864248E-001
-4.2623600E-001	4.719337336470684E-001	3.258999917670735E-001
-4.2724264E-001	4.552850593667896E-001	3.426999913426698E-001
-4.2825922E-001	4.394974090490071E-001	3.592999909233185E-001
-4.2924881E-001	4.365947600329938E-001	3.758999905039673E-001
-4.3022713E-001	4.200853640544735E-001	3.926999900795636E-001
-4.3304461E-001	3.708343792907774E-001	4.392999889023486E-001
-4.3402994E-001	3.643138215463209E-001	4.558999884829973E-001
-4.3507954E-001	3.558595342023496E-001	4.726999880585936E-001
-4.3607432E-001	3.510980542873345E-001	4.892999876392423E-001
-4.3708652E-001	3.497189310979527E-001	5.058999872198910E-001
-4.3810120E-001	3.431527434206689E-001	5.226999867954873E-001
-4.3910843E-001	3.359587561877246E-001	5.392999863761361E-001
-4.4005665E-001	3.445935332237031E-001	5.558999859567848E-001
-4.4109151E-001	3.386517360620189E-001	5.726999855323811E-001
-4.4205734E-001	3.377509286813423E-001	5.892999851130298E-001
-4.4305119E-001	3.190286141799552E-001	6.058999846936786E-001
-4.4406694E-001	3.151315452593064E-001	6.226999842692749E-001
-4.4503993E-001	3.208488739240494E-001	6.392999838499236E-001
-4.4598377E-001	3.188340735890809E-001	6.558999834305723E-001
-4.4703043E-001	3.067610201270625E-001	6.726999830061686E-001
-4.4810438E-001	3.092321586029403E-001	6.892999825868174E-001
-4.4902048E-001	3.120681950118814E-001	7.058999821674661E-001
-4.5006537E-001	3.220683701853799E-001	7.226999817430624E-001
-4.5106801E-001	3.077333058541027E-001	7.392999813237111E-001
-4.5208156E-001	2.931044295802714E-001	7.558999809043598E-001
-4.5307559E-001	2.970525427483439E-001	7.726999804799561E-001
-4.5407379E-001	2.897012491896747E-001	7.892999800606049E-001
-4.5504203E-001	2.913450467038059E-001	8.058999796412536E-001
-4.5605436E-001	2.980307248772833E-001	8.226999792168499E-001
-4.5703050E-001	2.954065449370269E-001	8.392999787974986E-001
-4.5804617E-001	2.747700901681363E-001	8.558999783781474E-001
-4.5910403E-001	2.693105793247597E-001	8.726999779537437E-001
-4.6003857E-001	2.608917702734459E-001	8.892999775343924E-001
-4.6104568E-001	2.613811050003623E-001	9.058999771150411E-001
-4.6206728E-001	2.635602402252455E-001	9.226999766906374E-001
-4.6309510E-001	2.624803176087644E-001	9.392999762712861E-001
-4.6408936E-001	2.620933191664525E-001	9.558999758519349E-001
-4.6506926E-001	2.600732795728571E-001	9.726999754275312E-001
-4.6605763E-001	2.583511736957969E-001	9.892999750081799E-001
-4.6705258E-001	2.585802922853153E-001	1.005899974588829E+000
-4.6803287E-001	2.518052422876151E-001	1.022699974164425E+000
-4.6900916E-001	2.587818227470340E-001	1.039299973745074E+000
-4.7001043E-001	2.480732177663587E-001	1.055899973325722E+000
-4.7107923E-001	2.368863204949430E-001	1.072699972901319E+000
-4.7207668E-001	2.244847958772960E-001	1.089299972481967E+000
-4.7301164E-001	2.192989520304320E-001	1.105899972062616E+000
-4.7401267E-001	2.221683848400906E-001	1.122699971638212E+000
-4.7505033E-001	2.184168667035797E-001	1.139299971218861E+000
-4.7603109E-001	2.102248135995546E-001	1.155899970799510E+000
-4.7704571E-001	2.096993882146978E-001	1.172699970375106E+000
-4.7803780E-001	2.081727766038637E-001	1.189299969955755E+000
-4.7904751E-001	1.979039002292686E-001	1.205899969536404E+000
-4.8002332E-001	2.008536884902667E-001	1.222699969112000E+000
-4.8105255E-001	1.951872092733785E-001	1.239299968692649E+000
-4.8202723E-001	1.871114998093497E-001	1.255899968273297E+000
-4.8305866E-001	1.793366114722774E-001	1.272699967848894E+000
-4.8401728E-001	1.727247058786452E-001	1.289299967429542E+000
-4.8503259E-001	1.724864584104058E-001	1.305899967010191E+000
-4.8607013E-001	1.792275907016463E-001	1.322699966585787E+000
-4.8705506E-001	1.928668544896777E-001	1.339299966166436E+000
-4.8804882E-001	1.875540538670277E-001	1.355899965747085E+000
-4.8904064E-001	1.819054975505514E-001	1.372699965322681E+000
-4.9004221E-001	1.850122649802108E-001	1.389299964903330E+000
-4.9100596E-001	1.872705822665663E-001	1.405899964483979E+000
-4.9208084E-001	1.936660115896833E-001	1.422699964059575E+000
-4.9311906E-001	1.893774177258227E-001	1.439299963640224E+000
-4.9407792E-001	1.870648649190034E-001	1.455899963220872E+000
-4.9502975E-001	1.845429237652571E-001	1.472699962796469E+000
-4.9604905E-001	1.780071439625077E-001	1.489299962377117E+000
-4.9700576E-001	1.831993583496658E-001	1.505899961957766E+000
-4.9808082E-001	1.694490365942740E-001	1.522699961533363E+000
-4.9907583E-001	1.683903082718872E-001	1.539299961114011E+000
-5.0007796E-001	1.727714854095961E-001	1.555899960694660E+000
-5.0107068E-001	1.774912668909470E-001	1.572699960270256E+000
-5.0205004E-001	1.770138278324158E-001	1.589299959850905E+000
-5.0305140E-001	1.794761253779539E-001	1.605899959431554E+000
-5.0405991E-001	1.765643830276624E-001	1.622699959007150E+000
-5.0505346E-001	1.710266407568830E-001	1.639299958587799E+000
-5.0602573E-001	1.699106202098637E-001	1.655899958168447E+000
-5.0708640E-001	1.672146270362038E-001	1.672699957744044E+000
-5.0803858E-001	1.744272583867950E-001	1.689299957324693E+000
-5.0905997E-001	1.706713857967408E-001	1.705899956905341E+000
-5.1008403E-001	1.672115656712820E-001	1.722699956480938E+000
-5.1106817E-001	1.643611279119628E-001	1.739299956061586E+000
-5.1211709E-001	1.596222648107346E-001	1.755899955642235E+000
-5.1311332E-001	1.612605291491166E-001	1.772699955217831E+000
-5.1409829E-001	1.564628306496887E-001	1.789299954798480E+000
-5.1504976E-001	1.530812970931741E-001	1.805899954379129E+000
-5.1611489E-001	1.496400546448097E-001	1.822699953954725E+000
-5.1710713E-001	1.508609000350236E-001	1.839299953535374E+000
-5.1806933E-001	1.461036402080214E-001	1.855899953116023E+000
-5.1906252E-001	1.422631465741953E-001	1.872699952691619E+000
-5.2005988E-001	1.399202032506258E-001	1.889299952272268E+000
-5.2108812E-001	1.407754229345461E-001	1.905899951852916E+000
-5.2208084E-001	1.415541062897283E-001	1.922699951428513E+000
-5.2308148E-001	1.383304827499918E-001	1.939299951009161E+000
-5.2407062E-001	1.376468927485655E-001	1.955899950589810E+000
-5.2509266E-001	1.335426306584850E-001	1.972699950165406E+000
-5.2607208E-001	1.352647764328863E-001	1.989299949746055E+000
-5.2703714E-001	1.328528261991841E-001	2.005899949326704E+000
-5.2807796E-001	1.312888522948028E-001	2.022699948902300E+000
-5.2910918E-001	1.335511493781167E-001	2.039299948482949E+000
-5.3008294E-001	1.311665278874958E-001	2.055899948063598E+000
-5.3105998E-001	1.367903938987811E-001	2.072699947639194E+000
-5.3208518E-001	1.365935423680482E-001	2.089299947219843E+000
-5.3306735E-001	1.340722992493664E-001	2.105899946800491E+000
-5.3407300E-001	1.389719008400827E-001	2.122699946376088E+000
-5.3507310E-001	1.389577053326900E-001	2.139299945956736E+000
-5.3610486E-001	1.323089880579048E-001	2.155899945537385E+000
-5.3708249E-001	1.281630974206036E-001	2.172699945112981E+000
-5.3811640E-001	1.241191542505593E-001	2.189299944693630E+000
-5.3909731E-001	1.266424190273711E-001	2.205899944274279E+000
-5.4009449E-001	1.278359436295509E-001	2.222699943849875E+000
-5.4107600E-001	1.305182267213238E-001	2.239299943430524E+000
-5.4210043E-001	1.314861844123034E-001	2.255899943011173E+000
-5.4308754E-001	1.332524293262720E-001	2.272699942586769E+000
-5.4407537E-001	1.323719914852538E-001	2.289299942167418E+000
-5.4509735E-001	1.273754987953645E-001	2.305899941748066E+000
-5.4609317E-001	1.262617848829060E-001	2.322699941323663E+000
-5.4710519E-001	1.295767697893702E-001	2.339299940904311E+000
-5.4806876E-001	1.337639328247557E-001	2.355899940484960E+000
-5.4912001E-001	1.328792474744849E-001	2.372699940060556E+000
-5.5008453E-001	1.337463359917614E-001	2.389299939641205E+000
-5.5107427E-001	1.314387555047865E-001	2.405899939221854E+000
-5.5209160E-001	1.299687500841296E-001	2.422699938797450E+000
-5.5309713E-001	1.337698843330145E-001	2.439299938378099E+000
-5.5408001E-001	1.361725676830656E-001	2.455899937958748E+000
-5.5512083E-001	1.359393294238384E-001	2.472699937534344E+000
-5.5609167E-001	1.376332320309137E-001	2.489299937114993E+000
-5.5708671E-001	1.313517123590124E-001	2.505899936695641E+000
-5.5806172E-001	1.281339531376336E-001	2.522699936271238E+000
-5.5908114E-001	1.281171866444251E-001	2.539299935851886E+000
-5.6005895E-001	1.282203667559143E-001	2.555899935432535E+000
-5.6109065E-001	1.251913579325705E-001	2.572699935008131E+000
-5.6206000E-001	1.212384078455053E-001	2.589299934588780E+000
-5.6306255E-001	1.228427699435926E-001	2.605899934169429E+000
-5.6406140E-001	1.209987640675788E-001	2.622699933745025E+000
-5.6504828E-001	1.182708665454349E-001	2.639299933325674E+000
-5.6605446E-001	1.195504532578516E-001	2.655899932906323E+000
-5.6703824E-001	1.190226952426345E-001	2.672699932481919E+000
-5.6807345E-001	1.247174403630202E-001	2.689299932062568E+000
-5.6906104E-001	1.254545608882066E-001	2.705899931643216E+000
-5.7007599E-001	1.263370841777784E-001	2.722699931218813E+000
-5.7105339E-001	1.202476887260042E-001	2.739299930799461E+000
-5.7206118E-001	1.139433247709853E-001	2.755899930380110E+000
-5.7307130E-001	1.148795246027617E-001	2.772699929955706E+000
-5.7406217E-001	1.112277698899720E-001	2.789299929536355E+000
-5.7508212E-001	1.139031929657278E-001	2.805899929117004E+000
-5.7608628E-001	1.121675317035993E-001	2.822699928692600E+000
-5.7707506E-001	1.106295952573420E-001	2.839299928273249E+000
-5.7806915E-001	1.016109535667220E-001	2.855899927853898E+000
-5.7909656E-001	9.977182794517542E-002	2.872699927429494E+000
-5.8008868E-001	9.991602908457731E-002	2.889299927010143E+000
-5.8109522E-001	1.013296979293227E-001	2.905899926590791E+000
-5.8207256E-001	1.028427872149690E-001	2.922699926166388E+000
-5.8306271E-001	9.946461707767473E-002	2.939299925747036E+000
-5.8410543E-001	9.815261465238595E-002	2.955899925327685E+000
-5.8508366E-001	1.028317335449778E-001	2.972699924903282E+000
-5.8607584E-001	1.062227892963632E-001	2.989299924483930E+000
-5.8708423E-001	1.039220730111827E-001	3.005899924064579E+000
-5.8807391E-001	1.026853081361494E-001	3.022699923640175E+000
-5.8910960E-001	1.003538353585948E-001	3.039299923220824E+000
-5.9008986E-001	9.294561322519784E-002	3.055899922801473E+000
-5.9107840E-001	9.203411432034869E-002	3.072699922377069E+000
-5.9207529E-001	9.014547736177037E-002	3.089299921957718E+000
-5.9309018E-001	9.048456505613589E-002	3.105899921538366E+000
-5.9408861E-001	8.845020304175311E-002	3.122699921113963E+000
-5.9510535E-001	9.152103781803622E-002	3.139299920694612E+000
-5.9607261E-001	9.036073381339960E-002	3.155899920275260E+000
-5.9711134E-001	9.318264098838025E-002	3.172699919850857E+000
-5.9808332E-001	9.230744211934527E-002	3.189299919431505E+000
-5.9908265E-001	9.000192773890614E-002	3.205899919012154E+000
-6.0006291E-001	8.658336834050707E-002	3.222699918587750E+000
-6.0106564E-001	8.527858482880740E-002	3.239299918168399E+000
-6.0207224E-001	8.533254956205677E-002	3.255899917749048E+000
-6.0308039E-001	8.497853956495760E-002	3.272699917324644E+000
-6.0403496E-001	8.582081948096554E-002	3.289299916905293E+000
-6.0507214E-001	9.005736891232030E-002	3.305899916485942E+000
-6.0608381E-001	8.936170956689038E-002	3.322699916061538E+000
-6.0702956E-001	9.030542455613605E-002	3.339299915642187E+000
-6.0806417E-001	8.656026990722021E-002	3.355899915222835E+000
-6.0904592E-001	8.306266055701084E-002	3.372699914798432E+000
-6.1001855E-001	8.129259302125624E-002	3.389299914379080E+000
-6.1104298E-001	8.296586302522968E-002	3.405899913959729E+000
-6.1205286E-001	8.223240247099817E-002	3.422699913535325E+000
-6.1301005E-001	8.176916450882987E-002	3.439299913115974E+000
-6.1404246E-001	8.337549565929070E-002	3.455899912696623E+000
-6.1505991E-001	8.648201986785165E-002	3.472699912272219E+000
-6.1606222E-001	8.911962223290981E-002	3.489299911852868E+000
-6.1704504E-001	8.466611197580476E-002	3.505899911433517E+000
-6.1806881E-001	8.278581147082109E-002	3.522699911009113E+000
-6.1906385E-001	8.559048675362835E-002	3.539299910589762E+000
-6.2005806E-001	8.736704739535006E-002	3.555899910170410E+000
-6.2105757E-001	8.385745986416504E-002	3.572699909746007E+000
-6.2208086E-001	8.333263205519548E-002	3.589299909326655E+000
-6.2303740E-001	7.923018764963163E-002	3.605899908907304E+000
-6.2407655E-001	7.794789248870493E-002	3.622699908482900E+000
-6.2506515E-001	7.601570086294940E-002	3.639299908063549E+000
-6.2607569E-001	7.695960387406497E-002	3.655899907644198E+000
-6.2709171E-001	7.595365961573797E-002	3.672699907219794E+000
-6.2806052E-001	7.623876033376698E-002	3.689299906800443E+000
-6.2905157E-001	7.539279447118208E-002	3.705899906381092E+000
-6.3008690E-001	7.542905965121459E-002	3.722699905956688E+000
-6.3103557E-001	7.807151860764439E-002	3.739299905537337E+000
-6.3202971E-001	7.732375655892415E-002	3.755899905117985E+000
-6.3309014E-001	7.734052764458804E-002	3.772699904693582E+000
-6.3404304E-001	7.460850099774241E-002	3.789299904274230E+000
-6.3508749E-001	7.317794934975835E-002	3.805899903854879E+000
-6.3606358E-001	7.522382006282002E-002	3.822699903430475E+000
-6.3704169E-001	7.418821073318338E-002	3.839299903011124E+000
-6.3802052E-001	7.324101286681595E-002	3.855899902591773E+000
-6.3902754E-001	7.813438331061584E-002	3.872699902167369E+000
-6.4007246E-001	7.666236153984821E-002	3.889299901748018E+000
-6.4104402E-001	7.673938544260137E-002	3.905899901328667E+000
-6.4211184E-001	7.604810132127682E-002	3.922699900904263E+000
-6.4304626E-001	7.634111072997496E-002	3.939299900484912E+000
-6.4405668E-001	7.685643615640914E-002	3.955899900065560E+000
-6.4507520E-001	7.472607060568404E-002	3.972699899641157E+000
-6.4609444E-001	7.407733166616226E-002	3.989299899221805E+000
-6.4706415E-001	7.359779166394032E-002	4.005899898802454E+000
-6.4807630E-001	6.697743384374519E-002	4.022699898378050E+000
-6.4909017E-001	6.612241164108523E-002	4.039299897958699E+000
-6.5004015E-001	6.530298614305363E-002	4.055899897539348E+000
-6.5105432E-001	6.489695709509169E-002	4.072699897114944E+000
